1004

hql	jpql	1
('hql', 'more', 'jpql', '', '16886935', 'because hql is more or less superset of jpql it of course works also in hql\n')
('gif', 'slightly better', 'png', '', '115838', 'there might be some edge cases where gif is slightly better because the png format may have a slightly larger overhead from metadata but it s really not worth the worry\n')
('png', 'smaller', 'gif', 'memory', '116210', 'indexed png less than 256 colors is actually always smaller than gif so i use that most of the time\n')
('png', 'better compression', 'gif', '', '10666583', 'according to wikipedia the png format provides better compression than gif\n')
('png', 'better compression', 'gif', '', '10666940', 'png achieves better compression than gif because it applies a pre-filtering step before the lossless compression deflate roughly equivalent to lzw. see wikipedia s explanation of png filtering\n')
('gif', 'significantly larger', 'png', 'memory', '18601225', 'i m not sure if this matters but the gif is significantly larger than the png files\n')
('png', 'usually better', 'gif', '', '4288557', 'many people don t know about 8-bit png which is usually better than gif in size.\n')
('png', 'better', 'gif', '', '1200232', 'png compresses much better than gif and allows more colors at the same time\n')
('png', 'better', 'gif', '', '115838', 'as a general rule png is never worse and often better than gif because of superior compression\n')
('png', 'shim smaller', 'gif', 'memory', '1841996', 'a 8-bit png shim is smaller than the same dimension 1 pixel gif and everything will still work as planned\n')
('png', 'smaller', 'gif', 'memory', '2747873', 'just press save and give it a name and that photoshop image will be saved into a transparent background png file which presents more colors and it s smaller than a gif file and is as good as a jpg\n')
('png', 'smaller', 'gif', 'memory', '610565', 'if png isn t smaller than gif then your software may be saving it poorly - look for png optimisation progams like pngout and pngnq\n')
('png', 'format better compression', 'gif', '', '10666583', 'according to wikipedia the png format provides better compression than gif\n')
('png', 'better competition', 'gif', '', '1084126', 'png images are always compressed lossless but their compression algorithm works better than competition gif\n')
('png', 'better compression', 'gif', '', '11005984', 'you can then use imagecopy to insert each gif image including the background and imagepng to generate png output which is better for line art than jpeg offers better compression than gif and can support more than 256 colors\n')
('png', 'smaller', 'gif', 'memory', '2308120', 'convert it to png 10-30 smaller than gif on average\n')

udp	tcp	205
('tcp', 'much more', 'udp', '', '9235592', '+ consider that the implementation of tcp stack is much more complicated than udp more instructions are executed there\n')
('udp', 'better', 'tcp', '', '14749840', 'i think udp will perform better than tcp gcdasyncsocket in your case video transfer\n')
('udp', 'more', 'tcp', '', '19350736', 'udp is more of a fire and forget whereas tcp maintains a connection state\n')
('tcp', 'much slower', 'udp', 'performance', '11890330', 'tcp is much slower than udp but when the two machines are not on the same lan udp is not reliable\n')
('udp', 'lower latency', 'tcp', '', '10624972', 'like matzi suggested udp gives you lower latency and lower packet overhead as the header is smaller than tcp but on the downside the delivery of the packet to the destination is never guaranteed ie\n')
('udp', 'faster', 'tcp', 'performance', '25350887', 'one often finds the argument that udp is faster then tcp\n')
('tcp', 'better', 'udp', '', '2935622', 'in general the tcp protocol manages the available network bandwidth better than the udp protocol\n')
('tcp', 'faster', 'udp', 'performance', '1581034', 'at my company we have found memory mapped files to be much faster than loopback tcp ip for communication on the same box so i m assuming it would be faster than udp too\n')
('udp', 'faster', 'tcp', 'performance', '5862704', 'udp is generally faster than tcp as it does not have to do the overhead checking of consistency that tcp must deal with\n')
('udp', 'faster', 'tcp', 'performance', '47929', 'udp is faster than tcp and the simple reason is because its nonexistent acknowledge packet ack that permits a continuous packet stream instead of tcp that acknowledges a set of packets calculated by using the tcp window size and round-trip time rtt\n')
('udp', 'lower', 'tcp', '', '24880258', 'one can say udp has a lower overhead than tcp because its packets have a smaller header and therefore take less bandwidth to send the payload the data\n')
('udp', 'better', 'tcp', '', '7329214', 'does udp always perform better than tcp\n')
('tcp', 'slower', 'udp', 'performance', '19081574', 'in doing so the tradefoff is that tcp becomes slower compared to udp\n')
('udp', 'communication connection less', 'tcp', '', '2896525', 'udp communication is connection less as compared to tcp which need a connection\n')
('udp', 'communication much less', 'tcp', '', '12082396', 'udp communication requires much less overhead than tcp due to the number of messages exchanged\n')
('udp', 'always faster', 'tcp', 'performance', '2280675', 'also see this other so answer about the misconception that udp is always faster than tcp\n')
('udp', 'also more work', 'tcp', '', '2364616', 'udp is also more work than tcp if you need reliability which is built in to tcp\n')
('tcp', 'more', 'udp', '', '9952101', 'that among other things is why tcp is considered more reliable but slower than udp\n')
('udp', 'faster', 'tcp', 'performance', '5594213', 'udp is faster than tcp because packets are sent without guarantee of delivery nor order\n')
('udp', 'more relevant here', 'tcp', '', '1442901', 'a heartbeat is by nature a connectionless contrivance so it goes that udp connectionless is more relevant here than tcp connection-oriented\n')
('tcp', 'throughput bigger', 'udp', 'memory', '10315535', 'i am confused why tcp throughput is bigger than udp\n')
('udp', 'faster', 'tcp', 'performance', '18811601', 'because there is no confirmation on udp packets it s slightly faster than tcp\n')
('udp', 'worse', 'tcp', '', '5485831', 'also note that it is easy to implement your own stack on top of udp that performs worse than tcp\n')
('udp', 'generally faster', 'tcp', 'performance', '5862704', 'udp is generally faster than tcp as it does not have to do the overhead checking of consistency that tcp must deal with\n')
('udp', 'connectionless more relevant', 'tcp', '', '1442901', 'a heartbeat is by nature a connectionless contrivance so it goes that udp connectionless is more relevant here than tcp connection-oriented\n')
('udp', 'better', 'tcp', '', '11338428', 'short answer if you can tolerance with any packet loss udp is better otherwise tcp\n')
('udp', 'better', 'tcp', '', '16924352', 'does udp always perform better than tcp\n')
('udp', 'faster', 'tcp', 'performance', '5978352', 'the reason udp is faster than tcp is because there is no form of flow control or error correction\n')
('udp', 'simpler', 'tcp', 'usability', '24559909', 'c++ is not my first language and this is small part of code i can t figure out i ve chosen udp because it is always much simpler than tcp\n')
('udp', 'much better', 'tcp', '', '25287117', 'since loosing some packets doesn t matter but speed latency is crucial udp is much better than tcp\n')
('udp', 'absolutely faster', 'tcp', 'performance', '21363292', 'if the network between the two point have a very high quality udp is absolutely faster than tcp but in some other case such as the gprs network tcp may been faster and more reliability than udp\n')
('udp', 'better', 'tcp', '', '7329214', 'this was surprising for me as it is well known fact that udp performs better than tcp\n')
('tcp', 'more', 'udp', '', '14649005', 'also remember that dns requests can use tcp if the request or response would need more than 1 udp packet\n')
('tcp', 'better protocol', 'udp', '', '24411213', 'hello to all i am developing an application that needs to send a image via the udp socket.i know that tcp is a better protocol but playing with kryonet in java i have learnt that udp is better for this type of application.i have this small class that i have made\n')
('tcp', 'far better', 'udp', '', '3918611', 'tcp is far better at transferring large quantities of data but when the network fails it s more likely that udp will get through\n')
('tcp', 'bigger overhead', 'udp', 'memory', '24881403', 'tcp has bigger overhead than udp because it needs to add more data to your payload but you are guaranteed that your data will be received in it s destination in the order you sent it and not corrupted\n')
('tcp', 'faster better', 'udp', 'performance', '638446', 'in some applications tcp is faster better throughput than udp\n')
('udp', 'harder', 'tcp', '', '5869634', 'udp port scanning is possible but it is harder than tcp scanning\n')
('udp', 'faster', 'tcp', 'performance', '21363292', 'if the network between the two point have a very high quality udp is absolutely faster than tcp but in some other case such as the gprs network tcp may been faster and more reliability than udp\n')
('udp', 'less overhead', 'tcp', 'performance', '1099695', 'most importantly you can easily supplement udp with some reliable delivery hand-shaking that s less overhead than tcp\n')
('udp', 'less reliable', 'tcp', 'reliability', '4884364', 'and there are no handshakings required udp are pretty much faster but less reliable than tcp\n')
('udp', 'better', 'tcp', '', '16924212', '-- does udp always perform better than tcp\n')
('udp', 'much better just', 'tcp', '', '17652027', 'instead of implementing all these over udp it is much better just to switch to tcp\n')
('tcp', 'faster', 'udp', 'performance', '584131', 'tcp mounts are more reliable and you know you have a network problem much faster than with udp\n')
('tcp', 'more', 'udp', '', '11428762', 'if they are connected over the internet you could try to use the examples for tcp but tcp has more overhead than udp\n')
('udp', 'more', 'tcp', '', '7400055', 'udp is more popular in nat punching because provides much better results than tcp\n')
('udp', 'better', 'tcp', '', '7329214', 'scenario where udp is better than tcp\n')
('tcp', 'higher', 'udp', '', '16388203', 'actually we could say that tcp is a higher level protocol compared to udp because tcp includes some advanced features which might be useful .\n')
('tcp', 'higher latencies', 'udp', '', '5423061', 'tcp is subject to higher latencies than udp as it requires the client to send back packet confirmations\n')
('tcp', 'more likely', 'udp', '', '6527310', 'tcp socket is even more likely than udp socket but both work\n')
('udp', 'faster', 'tcp', 'performance', '9286808', 'for instance zeromq can leverage udp multicast to run faster than any tcp protocol but the application programmer doesn t need to learn a new api\n')
('udp', 'faster', 'tcp', 'performance', '4147351', 'udp protocol is unreliable but much much faster than tcp which is most commonly used for communication\n')
('udp', 'better', 'tcp', '', '16924492', 'does udp always perform better than tcp\n')
('tcp', 'connections more', 'udp', '', '9047315', 'it may be that the kernel heuristics for servering tcp connections is more aggressive than for udp sockets since tcp connections require more state and more continuous processing than do udp sockets\n')
('udp', 'slower', 'tcp', 'performance', '9300555', 'i assumend that the transmission using udp have to be much faster than using tcp but in fact my tests proved that the udp transmission is about 7 to 8 times slower than using tcp\n')
('tcp', 'more reliable', 'udp', 'reliability', '1898944', 'what i have thought of so far is that tcp is going to be more reliable than udp and in rmi corba we want network reliability\n')
('udp', 'better performance', 'tcp', 'performance', '16442504', 'udp will almost always provide better performance than tcp at the cost of reliability\n')
('tcp', 'slower', 'udp', 'performance', '11890330', 'tcp is much slower than udp but when the two machines are not on the same lan udp is not reliable\n')
('udp', 'simpler protocol', 'tcp', 'usability', '2576102', 'udp is simpler protocol than tcp and you can still simulate features of tcp using udp\n')
('tcp', 'bigger', 'udp', 'memory', '10315535', 'i am confused why tcp throughput is bigger than udp\n')
('udp', 'higher', 'tcp', '', '5561668', 'so assess the situation the development cost of a udp transport is higher to significantly higher than tcp and to some degree you are re-inventing tcp\n')
('udp', 'lower overhead', 'tcp', 'performance', '584128', 'udp has a much lower overhead than tcp\n')
('tcp', 'more overhead', 'udp', 'performance', '11428762', 'if they are connected over the internet you could try to use the examples for tcp but tcp has more overhead than udp\n')
('udp', 'significantly faster', 'tcp', 'performance', '3424324', 'udp is significantly faster than tcp and is why it is or was used for video and various things back in the day\n')
('udp', 'better choice', 'tcp', '', '8587512', 'the key question was related to what kind of situations would udp be the better choice over tcp\n')
('udp', 'easier', 'tcp', 'usability', '7374426', 'keep in mind that implementing udp traversal is easier than tcp\n')
('udp', 'just smaller', 'tcp', 'memory', '9409379', 'udp just has a smaller overhead than tcp but that comes at the cost of reliability\n')
('udp', 'less stringent', 'tcp', '', '2588997', 'instead you can use udp and implement your own scheme for verification of data that is less stringent than tcp\n')
('tcp', 'better option', 'udp', 'usability', '6104661', 'if you can t afford lost packets then tcp is probably a better option than udp since it provides that guarantee out of the box\n')
('tcp', 'slower', 'udp', 'performance', '11455687', 'tcp is slower than udp and you ll have to mitigate that in realtime multiplayer\n')
('udp', 'communication much less overhead', 'tcp', 'performance', '12082396', 'udp communication requires much less overhead than tcp due to the number of messages exchanged\n')
('udp', 'simpler', 'tcp', 'usability', '3424324', 'a udp stack is considerably simpler than a tcp stack\n')
('udp', 'connectionless more', 'tcp', '', '1442901', 'a heartbeat is by nature a connectionless contrivance so it goes that udp connectionless is more relevant here than tcp connection-oriented\n')
('tcp', 'harder', 'udp', '', '10491782', 'but it sounds like you want to do nat traversal over tcp which is a harder problem than udp\n')
('udp', 'smaller overhead', 'tcp', 'memory', '9409379', 'udp just has a smaller overhead than tcp but that comes at the cost of reliability\n')
('udp', 'really faster', 'tcp', 'performance', '12530442', 'udp is really faster than tcp and the simple reason is because it s non-existent acknowledge packet ack that permits a continuous packet stream instead of tcp that acknowledges a set of packets calculatd by using the tcp window size and round-trip time rtt .\n')
('tcp', 'slower', 'udp', 'performance', '2290873', 'tcp is reliable but slower than udp while udp is not safe and i have to implement my own fault-handling codes\n')
('tcp', 'slower', 'udp', 'performance', '21942178', 'apart from that tcp packets by themselves are not slower than udp packets and data transfer with a simple tcp connection can be faster than with a simple udp connection because flow control and reliable transfer is already integrated and you don t have to reinvent everything again and often worse\n')
('udp', 'better', 'tcp', '', '16924212', '-- in which scenario configuration would i get udp to perform better than tcp\n')
('udp', 'better', 'tcp', '', '25287117', 'since loosing some packets doesn t matter but speed latency is crucial udp is much better than tcp\n')
('udp', 'much better', 'tcp', '', '17652027', 'instead of implementing all these over udp it is much better just to switch to tcp\n')
('tcp', 'more', 'udp', '', '584131', 'tcp mounts are more reliable and you know you have a network problem much faster than with udp\n')
('tcp', 'bigger', 'udp', 'memory', '9047258', 'the problem is that tcp creates bigger packages of data while udp uses 8 kb of data blocks\n')
('udp', 'simpler', 'tcp', 'usability', '14297743', 'also sending receiving data over udp is much simpler than over tcp and it does not require any connections\n')
('tcp', 'more', 'udp', '', '5978352', '2 tcp needs more processing at network interface level where as in udp itâ s not\n')
('tcp', 'more reliable', 'udp', 'reliability', '9952101', 'that among other things is why tcp is considered more reliable but slower than udp\n')
('udp', 'faster', 'tcp', 'performance', '7603776', 'from experience i can tell you udp is about 10-15 faster than tcp on dedicated and udp-tuned networks\n')
('udp', 'faster', 'tcp', 'performance', '12530442', 'udp is really faster than tcp and the simple reason is because it s non-existent acknowledge packet ack that permits a continuous packet stream instead of tcp that acknowledges a set of packets calculatd by using the tcp window size and round-trip time rtt .\n')
('udp', 'much easier', 'tcp', 'usability', '20769240', 'as such traversing a nat through udp is much easier than tcp\n')
('udp', 'considerably simpler', 'tcp', 'usability', '3424324', 'a udp stack is considerably simpler than a tcp stack\n')
('udp', 'much faster', 'tcp', 'performance', '13413608', 'this is the reason why udp is much faster than tcp\n')
('udp', 'faster', 'tcp', 'performance', '19019042', 'we propose to use udp over tcp since udp is faster than tcp\n')
('tcp', 'slower', 'udp', 'performance', '9952101', 'that among other things is why tcp is considered more reliable but slower than udp\n')
('tcp', 'better', 'udp', '', '16924212', 'i used iperf on two linux machines to send data using both udp and tcp i found that tcp performs better than udp average 65 better\n')
('udp', 'far more appropriate', 'tcp', '', '1946932', 'btw i concur that udp is far more appropriate than tcp in this case\n')
('udp', 'slower', 'tcp', 'performance', '9300555', 'maybe one of you guys already sees a problem in the code snippets or have any other suggestion or hint for me why my udp transmission is slower than tcp\n')
('udp', 'higher performance', 'tcp', 'performance', '8796401', 'as an additional note my suspicion is that you d need to indulge yourself in some pretty sophisticated benchmarks before you could conclude that udp is actually going to have higher performance than tcp for web services\n')
('tcp', 'better', 'udp', '', '24411213', 'hello to all i am developing an application that needs to send a image via the udp socket.i know that tcp is a better protocol but playing with kryonet in java i have learnt that udp is better for this type of application.i have this small class that i have made\n')
('tcp', 'faster better throughput', 'udp', 'performance', '638446', 'in some applications tcp is faster better throughput than udp\n')
('udp', 'simpler', 'tcp', 'usability', '2576102', 'udp is simpler protocol than tcp and you can still simulate features of tcp using udp\n')
('udp', 'less costly', 'tcp', '', '20753875', 'also if you have very limited memory processing resources it is worth bearing in mind that udp is a less costly protocol as it avoids a lot of the overheads tcp incurs due to its inbuilt connection management\n')
('tcp', 'more complicated', 'udp', 'usability', '10861938', 'it was introduced since the nat traversal for tcp is much more complicated than udp\n')
('tcp', 'slower', 'udp', 'performance', '8813553', 'tcp is slower assures data arrival udp is faster data corruption may be possible\n')
('tcp', 'more processing', 'udp', '', '5978352', '2 tcp needs more processing at network interface level where as in udp itâ s not\n')
('udp', 'less reliable', 'tcp', 'reliability', '17310250', 'udp is way lighter and faster but somewhat less reliable than tcp\n')
('tcp', 'more', 'udp', '', '1100868', 'some protocols are more complex because what s needed are some but not all of the features of tcp but more than what udp provides\n')
('tcp', 'socket even more', 'udp', '', '6527310', 'tcp socket is even more likely than udp socket but both work\n')
('udp', 'just smaller overhead', 'tcp', 'memory', '9409379', 'udp just has a smaller overhead than tcp but that comes at the cost of reliability\n')
('tcp', 'simpler', 'udp', 'usability', '4220469', 'you ve struck lucky with the requirements - because you re going from udp - tcp it s actually a lot simpler than doing udp - udp\n')
('udp', 'better', 'tcp', '', '16924492', 'or is there any specific scenario where udp is better than tcp\n')
('udp', 'faster', 'tcp', 'performance', '18660445', 'use socket for tcp and datagram for udp its a lot faster than tcp but less connection oriented\n')
('udp', 'less complex', 'tcp', 'usability', '12082396', 'in my experience udp based code is generally less complex than tcp based code\n')
('tcp', 'slower', 'udp', 'performance', '13245606', 'please note however that this architecture implements tcp which is much slower than udp and will not work for any type of fast-paced data intensive games but should accomplish your goals given your description above\n')
('tcp', 'slower', 'udp', 'performance', '7287150', 'the problem with using tcp is obviously that it is a lot slower than udp\n')
('udp', 'much simpler', 'tcp', 'usability', '14297743', 'also sending receiving data over udp is much simpler than over tcp and it does not require any connections\n')
('tcp', 'more overhead', 'udp', 'performance', '5520735', 'certainly tcp has more overhead than udp\n')
('tcp', 'faster', 'udp', 'performance', '638446', 'in some applications tcp is faster better throughput than udp\n')
('udp', 'faster', 'tcp', 'performance', '13413608', 'this is the reason why udp is much faster than tcp\n')
('udp', 'also more', 'tcp', '', '2364616', 'udp is also more work than tcp if you need reliability which is built in to tcp\n')
('udp', 'better', 'tcp', '', '16924212', 'or is there any specific scenario where udp is better than tcp\n')
('udp', 'faster', 'tcp', 'performance', '8947847', 'in that sense reliable udp cannot be faster than tcp\n')
('udp', 'better', 'tcp', '', '3918611', 'udp is actually expected to work better than tcp in lossy networks or congested networks\n')
('tcp', 'better', 'udp', '', '7329214', 'but when i used iperf on two linux machines to send data using both udp and tcp i found that tcp performs better than udp for 10mb of data\n')
('udp', 'traversal easier', 'tcp', 'usability', '7374426', 'keep in mind that implementing udp traversal is easier than tcp\n')
('tcp', 'faster', 'udp', 'performance', '9552483', 'what s currently baffling me is in my results tcp finishes almost 2x faster than udp\n')
('udp', 'lower overhead', 'tcp', 'performance', '24880258', 'one can say udp has a lower overhead than tcp because its packets have a smaller header and therefore take less bandwidth to send the payload the data\n')
('udp', 'way lighter', 'tcp', 'memory', '17310250', 'udp is way lighter and faster but somewhat less reliable than tcp\n')
('udp', 'better', 'tcp', '', '11406148', 'udp scales better than tcp because of reduced states that need to be maintained in the operating system\n')
('udp', 'significantly easier', 'tcp', 'usability', '3568783', 'udp is significantly easier do you really need tcp btw\n')
('tcp', 'windowing more', 'udp', '', '1930483', 'tcp windowing is more expensive than raw udp but if you use udp to go faster and add a custom loss-recovery or seqno ack resend manager then that may slow you down again\n')
('tcp', 'more reliable', 'udp', 'reliability', '584131', 'tcp mounts are more reliable and you know you have a network problem much faster than with udp\n')
('udp', 'less reliable', 'tcp', 'reliability', '9287416', 'udp is less reliable on a wide area network but in a closed environment of a vm talking to its host you can safely skip all the tcp reliability stuff\n')
('tcp', 'bigger', 'udp', 'memory', '24881403', 'tcp has bigger overhead than udp because it needs to add more data to your payload but you are guaranteed that your data will be received in it s destination in the order you sent it and not corrupted\n')
('udp', 'less overhead', 'tcp', 'performance', '799142', 'udp has less overhead than tcp and is therefore faster\n')
('tcp', 'better', 'udp', '', '4416038', 'tcp is much better than udp in terms of reliability\n')
('tcp', 'more reliable', 'udp', 'reliability', '5431991', 'tcp is certainly going to be more reliable than udp since udp doesn t guarantee packet delivery which is probably why you application is hanging on the receive\n')
('udp', 'smaller', 'tcp', 'memory', '10624972', 'like matzi suggested udp gives you lower latency and lower packet overhead as the header is smaller than tcp but on the downside the delivery of the packet to the destination is never guaranteed ie\n')
('tcp', 'less helpful', 'udp', '', '24101612', 'tcp streaming for audio can be less helpful than udp rtp as you d have to turn off nagling\n')
('udp', 'faster', 'tcp', 'performance', '9300555', 'i assumend that the transmission using udp have to be much faster than using tcp but in fact my tests proved that the udp transmission is about 7 to 8 times slower than using tcp\n')
('udp', 'simpler', 'tcp', 'usability', '4701184', 'you can use udp as well but if you are dealing with firewalls it is probably going to be simpler with tcp\n')
('tcp', 'connections more aggressive', 'udp', '', '9047315', 'it may be that the kernel heuristics for servering tcp connections is more aggressive than for udp sockets since tcp connections require more state and more continuous processing than do udp sockets\n')
('udp', 'less', 'tcp', '', '20753875', 'also if you have very limited memory processing resources it is worth bearing in mind that udp is a less costly protocol as it avoids a lot of the overheads tcp incurs due to its inbuilt connection management\n')
('tcp', 'way better then', 'udp', '', '14199053', 'tcp is way better then udp for that\n')
('tcp', 'better throughput', 'udp', '', '638446', 'in some applications tcp is faster better throughput than udp\n')
('tcp', 'better', 'udp', '', '23080381', 'in practice this means that tcp is better suited for continuous transmission of data whereas the more lightweight udp can be used when reliability isn t important\n')
('udp', 'lower overhead', 'tcp', 'performance', '8783507', 'udp sockets have much lower overhead than tcp because packets are not acknowledged by the recipient\n')
('udp', 'far more', 'tcp', '', '1946932', 'btw i concur that udp is far more appropriate than tcp in this case\n')
('udp', 'transport higher', 'tcp', '', '5561668', 'so assess the situation the development cost of a udp transport is higher to significantly higher than tcp and to some degree you are re-inventing tcp\n')
('tcp', 'much more complicated', 'udp', 'usability', '10861938', 'it was introduced since the nat traversal for tcp is much more complicated than udp\n')
('tcp', 'more', 'udp', '', '5520735', 'certainly tcp has more overhead than udp\n')
('tcp', 'higher level', 'udp', '', '16388203', 'actually we could say that tcp is a higher level protocol compared to udp because tcp includes some advanced features which might be useful .\n')
('tcp', 'more', 'udp', '', '22241001', 'i m aware of the differences in general the facts like tcp is more accurate while udp is more fast\n')
('tcp', 'socket much harder', 'udp', '', '6437427', 'when writing your server bear in mind that the sequence of events for a tcp socket is much harder than for a udp socket since as well as the normal socket and bind calls you also have to listen and accept\n')
('tcp', 'slower', 'udp', 'performance', '9627280', 'because of tcp requires connection and provides security it is slower than udp and therefore it should not be preffered during a video streaming\n')
('udp', 'knottier', 'tcp', '', '3541790', 'normally a server wouldn t need to know the client s address beforehand but udp s knottier than tcp the more usual stream-oriented approach to socket communication in many ways\n')
('tcp', 'way better', 'udp', '', '14199053', 'tcp is way better then udp for that\n')
('udp', 'faster', 'tcp', 'performance', '22583941', 'only when packets can be discarded unordered can udp be faster than tcp\n')
('udp', 'faster', 'tcp', 'performance', '12045089', 'don t think of it as udp is faster and tcp is slower because that s just wrong\n')
('tcp', 'much better', 'udp', '', '4416038', 'tcp is much better than udp in terms of reliability\n')
('tcp', 'more accurate', 'udp', 'performance', '22241001', 'i m aware of the differences in general the facts like tcp is more accurate while udp is more fast\n')
('tcp', 'better', 'udp', '', '9235592', 'for this particular application sending simple data chunk to the client from an index given by the client tcp will not perform any better than udp\n')
('tcp', 'much slower', 'udp', 'performance', '13245606', 'please note however that this architecture implements tcp which is much slower than udp and will not work for any type of fast-paced data intensive games but should accomplish your goals given your description above\n')
('tcp', 'faster', 'udp', 'performance', '16589674', 'i was expecting that udp would be faster but tcp is on average two times faster than udp\n')
('udp', 'less overhead', 'tcp', 'performance', '12082396', 'udp communication requires much less overhead than tcp due to the number of messages exchanged\n')
('udp', 'faster', 'tcp', 'performance', '1514244', 'theoretically udp should be be 30-50 faster than tcp because it s missing the extra trip for the ack and has a smaller header overhead however in reality there are many cases where tcp would outperform udp just because of congestion control\n')
('udp', 'connection less', 'tcp', '', '4533720', 'udp is connection less but at the same level as tcp\n')
('udp', 'more appropriate', 'tcp', '', '1946932', 'btw i concur that udp is far more appropriate than tcp in this case\n')
('tcp', 'windowing more expensive', 'udp', '', '1930483', 'tcp windowing is more expensive than raw udp but if you use udp to go faster and add a custom loss-recovery or seqno ack resend manager then that may slow you down again\n')
('tcp', 'slower', 'udp', 'performance', '4086350', 'with tcp its slightly slower than udp and has more features\n')
('tcp', 'slower', 'udp', 'performance', '8143223', 'tcp is a bit slower than udp but more failsafe\n')
('udp', 'faster then', 'tcp', 'performance', '25350887', 'one often finds the argument that udp is faster then tcp\n')
('udp', 'transmission slower', 'tcp', 'performance', '9300555', 'maybe one of you guys already sees a problem in the code snippets or have any other suggestion or hint for me why my udp transmission is slower than tcp\n')
('udp', 'better results', 'tcp', '', '7400055', 'udp is more popular in nat punching because provides much better results than tcp\n')
('udp', 'faster', 'tcp', 'performance', '3424324', 'udp is significantly faster than tcp and is why it is or was used for video and various things back in the day\n')
('udp', 'less latency', 'tcp', '', '20769240', 'udp lends itself to real-time less latency than tcp\n')
