250

wmv	flv	1
('wmv', 'easier', 'flv', 'usability', '2562', 'i found the production of wmv much better and easier than flv because all windows flv encoders i tried are not really good and stable whereas pretty much every tool can natively output wmv\n')
('postgresql', 'better', 'mysql', '', '1795117', 'now i m not sure if i d say postgresql is generally better than mysql -- there are certainly things that mysql does much better and so it certainly has its uses -- but these are a few things i absolutely love about it\n')
('postgresql', 'slower', 'mysql', 'performance', '27443', 'in most regards postgresql is slower than mysql especially when it comes to fine tuning in the end\n')
('postgresql', 'better', 'mysql', '', '1016512', 'honestly though postgresql scales much better than mysql\n')
('postgresql', 'much more complete', 'mysql', '', '1338597', 'postgresql is much more complete and solid and will much better support complex queries and their optimization while mysql may shine in terms of retrieval speed for extremely simple queries\n')
('postgresql', 'more restrictive', 'mysql', '', '1717152', 'postgresql is a bit more restrictive than mysql\n')
('postgresql', 'more powerful', 'mysql', 'usability', '259517', 'i cannot propose any db not knowing your specific needs but if you want to use a free software which excludes oracle and you re not already experienced with mysql you should try postgresql which is more powerful than mysql\n')
('postgresql', 'better', 'mysql', '', '442181', 'i also personally believe that postgresql has better handling of complex queries that include sub-selects and the like which most mysql users used to avoid\n')

simpletest	phpunit	1
('simpletest', 'easier', 'phpunit', 'usability', '34338', 'i found simpletest was even easier than phpunit to set up\n')

post	get	34
('post', 'better', 'get', '', '1008704', 'yes post is better than get because post data is not usualy logged by a proxy or server but it is not secure\n')
('post', 'also more secure', 'get', '', '46614', 'post is also more secure than get because you aren t sticking information into a url\n')
('get', 'more appropiate', 'post', '', '198565', 'get is more appropiate for idempotent queries while post is more appropiate for action queries but you can shoot yourself in the foot just as easily with any of them if you don t understand the security architecture for the application you re maintaining\n')
('get', 'much smaller', 'post', 'memory', '1860743', 'you ll hit problems with larger submissions and file-uploads as the size limit for a get is much smaller than a post\n')
('post', 'request relatively harder', 'get', '', '1597598', 'for example post request are considered more secure than get request as creating a post request is relatively harder than creating a get request\n')
('get', 'less secure', 'post', '', '1744404', 'the get request is marginally less secure than the post request\n')
('post', 'also more', 'get', '', '46614', 'post is also more secure than get because you aren t sticking information into a url\n')
('get', 'request marginally less', 'post', '', '1744404', 'the get request is marginally less secure than the post request\n')
('post', 'better', 'get', '', '1678727', 'when post is better than get\n')
('post', 'much more easier', 'get', 'usability', '1241338', 'i m sure there s a work around to use get for emails but the alternative post is much more easier and doesn t require any hacks to get around\n')
('post', 'slightly less susceptible', 'get', '', '1744404', 'the only scenario in which post is slightly less susceptible is that many websites that arenâ t under the attackerâ s control say a third-party forum allow embedding arbitrary images allowing the attacker to inject an arbitrary get request but prevent all ways of injecting an arbitary post request whether automatic or manual\n')
('post', 'less secure', 'get', '', '1500539', 'since post is better suited to transfer large amounts of data or difficult formatted data it is the established standard for submitting forms but it is in no way safer unsafer or more less secure than get requests\n')
('post', 'safer', 'get', 'security', '1145134', 'and apart from common misleading information where post is safer than get it is not\n')
('post', 'not more', 'get', '', '1008671', 'post is not more secure than get as itâ s also send unencrypted\n')
('post', 'much more', 'get', '', '1241338', 'i m sure there s a work around to use get for emails but the alternative post is much more easier and doesn t require any hacks to get around\n')
('get', 'less subsequent', 'post', '', '698048', 'an initial get request to a page usually costs less than subsequent post anyway so there s not much reason to avoid it\n')
('post', 'more secure', 'get', '', '46614', 'post is also more secure than get because you aren t sticking information into a url\n')
('post', 'more secure', 'get', '', '1311780', 'there appears to be a common mis-conception that post is more secure than get simply because it seems more obvious how to get a browser to manipulate the post variable\n')
('get', 'method faster', 'post', 'performance', '1211881', 'it is said that get method is faster than post but i don t know why is it\n')
('post', 'safer', 'get', 'security', '2143377', 'is post safer than get\n')
('get', 'smaller', 'post', 'memory', '1860743', 'you ll hit problems with larger submissions and file-uploads as the size limit for a get is much smaller than a post\n')
('post', 'less secure', 'get', '', '2080901', 'i wouldn t call post more or less secure than get\n')
('post', 'more compact', 'get', 'usability', '1494219', 'is post more compact than get since get requests have to be url-encoded\n')
('get', 'better', 'post', '', '1772728', 'sometimes get is a better option in those read-only scenarios because it makes your url scheme richer and avoids these sort of post warnings\n')
('post', 'more secure', 'get', '', '1008671', 'post is not more secure than get as itâ s also send unencrypted\n')
('get', 'more performant', 'post', '', '1850196', 'get is more performant as it is idempotent and does not contain a message body where as post does\n')
('post', 'not more secure', 'get', '', '1008671', 'post is not more secure than get as itâ s also send unencrypted\n')
('post', 'slightly less', 'get', '', '1744404', 'the only scenario in which post is slightly less susceptible is that many websites that arenâ t under the attackerâ s control say a third-party forum allow embedding arbitrary images allowing the attacker to inject an arbitrary get request but prevent all ways of injecting an arbitary post request whether automatic or manual\n')
('get', 'more performant', 'post', '', '1849962', 'ajax calls using get are more performant than post according to yahoo\n')
('get', 'lower', 'post', '', '1678683', 'generally when passing lots of data to the server to be processed or stored using post is a good idea since get has a lower limit than that of post\n')
('post', 'more elegant', 'get', 'usability', '1030688', 'i think using post is more elegant and has more options for further development than passing them via get\n')
('get', 'better', 'post', '', '1678727', 'when get is better than post\n')
('post', 'more secure', 'get', '', '1597598', 'for example post request are considered more secure than get request as creating a post request is relatively harder than creating a get request\n')
('post', 'better', 'get', '', '1500539', 'since post is better suited to transfer large amounts of data or difficult formatted data it is the established standard for submitting forms but it is in no way safer unsafer or more less secure than get requests\n')

m2e	maven	2
('m2e', 'more friendly', 'maven', '', '47674', 'in other words m2e is more friendly to the maven way\n')
('maven', 'steeper', 'm2e', '', '1429767', 'maven 2 has a steeper learning curve but provides a much richer set of functionality for building your projects and eclipse integration through m2e or iam\n')

udp	tcp	23
('udp', 'more relevant here', 'tcp', '', '1442901', 'a heartbeat is by nature a connectionless contrivance so it goes that udp connectionless is more relevant here than tcp connection-oriented\n')
('udp', 'lower overhead', 'tcp', 'performance', '584128', 'udp has a much lower overhead than tcp\n')
('udp', 'less overhead', 'tcp', 'performance', '799142', 'udp has less overhead than tcp and is therefore faster\n')
('udp', 'more appropriate', 'tcp', '', '1946932', 'btw i concur that udp is far more appropriate than tcp in this case\n')
('tcp', 'better throughput', 'udp', '', '638446', 'in some applications tcp is faster better throughput than udp\n')
('udp', 'always faster', 'tcp', 'performance', '2280675', 'also see this other so answer about the misconception that udp is always faster than tcp\n')
('tcp', 'faster', 'udp', 'performance', '638446', 'in some applications tcp is faster better throughput than udp\n')
('udp', 'connectionless more relevant', 'tcp', '', '1442901', 'a heartbeat is by nature a connectionless contrivance so it goes that udp connectionless is more relevant here than tcp connection-oriented\n')
('tcp', 'slower', 'udp', 'performance', '2290873', 'tcp is reliable but slower than udp while udp is not safe and i have to implement my own fault-handling codes\n')
('udp', 'faster', 'tcp', 'performance', '47929', 'udp is faster than tcp and the simple reason is because its nonexistent acknowledge packet ack that permits a continuous packet stream instead of tcp that acknowledges a set of packets calculated by using the tcp window size and round-trip time rtt\n')
('tcp', 'windowing more expensive', 'udp', '', '1930483', 'tcp windowing is more expensive than raw udp but if you use udp to go faster and add a custom loss-recovery or seqno ack resend manager then that may slow you down again\n')
('tcp', 'faster', 'udp', 'performance', '584131', 'tcp mounts are more reliable and you know you have a network problem much faster than with udp\n')
('udp', 'faster', 'tcp', 'performance', '1514244', 'theoretically udp should be be 30-50 faster than tcp because it s missing the extra trip for the ack and has a smaller header overhead however in reality there are many cases where tcp would outperform udp just because of congestion control\n')
('tcp', 'more reliable', 'udp', 'reliability', '1898944', 'what i have thought of so far is that tcp is going to be more reliable than udp and in rmi corba we want network reliability\n')
('tcp', 'faster', 'udp', 'performance', '1581034', 'at my company we have found memory mapped files to be much faster than loopback tcp ip for communication on the same box so i m assuming it would be faster than udp too\n')
('udp', 'less overhead', 'tcp', 'performance', '1099695', 'most importantly you can easily supplement udp with some reliable delivery hand-shaking that s less overhead than tcp\n')
('udp', 'faster', 'tcp', 'performance', '2280675', 'also see this other so answer about the misconception that udp is always faster than tcp\n')
('udp', 'far more', 'tcp', '', '1946932', 'btw i concur that udp is far more appropriate than tcp in this case\n')
('udp', 'far more appropriate', 'tcp', '', '1946932', 'btw i concur that udp is far more appropriate than tcp in this case\n')
('udp', 'connectionless more', 'tcp', '', '1442901', 'a heartbeat is by nature a connectionless contrivance so it goes that udp connectionless is more relevant here than tcp connection-oriented\n')
('tcp', 'windowing more', 'udp', '', '1930483', 'tcp windowing is more expensive than raw udp but if you use udp to go faster and add a custom loss-recovery or seqno ack resend manager then that may slow you down again\n')
('tcp', 'more reliable', 'udp', 'reliability', '584131', 'tcp mounts are more reliable and you know you have a network problem much faster than with udp\n')
('tcp', 'faster better', 'udp', 'performance', '638446', 'in some applications tcp is faster better throughput than udp\n')

textmate	emacs	2
('textmate', 'better', 'emacs', '', '48015', 'textmate is a better emacs for macs though that won t help you with solaris\n')
('emacs', 'better', 'textmate', '', '967805', 'i feel like emacs is so much better than textmate\n')

division	modulo	1
('division', 'faster', 'modulo', 'performance', '48103', 'a side effect of many division routines is the modulo - so in few cases should division actually be faster than modulo\n')

vimeo	youtube	1
('vimeo', 'fewer users', 'youtube', '', '50909', 'vimeo will always have fewer users than youtube because the user experience is poor for low bitrate users\n')

gdi	directx	2
('gdi', 'slower', 'directx', 'performance', '58301', 'speed is usually faster than gdi and slower than directx and depends greatly on how you do things seen something to work 60 times faster after rewriting in a sensible way\n')
('directx', 'faster', 'gdi', 'performance', '368466', 'to say directx is faster than gdi is also something of a simplification - wpf and gdi-based rendering technologies just have different performance characteristics\n')

wideimage	phpthumb	1
('wideimage', 'more modern', 'phpthumb', '', '65079', 'wideimage is the more modern php5 approach while phpthumb has much more features\n')

ubuntu	linux	2
('ubuntu', 'closer', 'linux', '', '68674', 'ubuntu is getting closer but there are still numerous things with linux that will keep the grandmothers of the world from using it\n')
('ubuntu', 'easier other', 'linux', 'usability', '1383228', 'although if you aren t interested in using adobe cs you can use ubuntu distro which is easier than other linux distro and quiet popular so you won t have any problem finding solution\n')

icefaces	richfaces	3
('icefaces', 'more semantic', 'richfaces', '', '69545', 'there is icefaces which provides more semantic support than richfaces .also you can try nitobi suite which also provides similar kinda solution.if you are not satisfied with any of these i suggest try to write your own part extending the sun faces\n')
('icefaces', 'more semantic support', 'richfaces', 'usability', '69545', 'there is icefaces which provides more semantic support than richfaces .also you can try nitobi suite which also provides similar kinda solution.if you are not satisfied with any of these i suggest try to write your own part extending the sun faces\n')
('icefaces', 'better', 'richfaces', '', '1014688', 'that said i found icefaces to be a useful product and much better than richfaces especially in terms of the quality of the documentation\n')

heapsort	quicksort	9
('quicksort', 'faster', 'heapsort', 'performance', '107883', 'for example quicksort average cost t n.log n and heapsort average cost t n.log n are both sorting algorithms with the same average cost - yet quicksort is typically much faster than heapsort\n')
('heapsort', 'significantly slower', 'quicksort', 'performance', '70423', 'but there are many citations of real world tests which show that heapsort is significantly slower than quicksort on average\n')
('quicksort', 'usually faster then', 'heapsort', 'performance', '941325', 'in practice however quicksort is usually faster then heapsort\n')
('quicksort', 'simpler', 'heapsort', 'usability', '941325', 'each iteration in quicksort is a lot simpler than heapsort\n')
('quicksort', 'more efficient', 'heapsort', 'performance', '771892', 'average asymptotic order of quicksort is o nlogn and it s usually more efficient than heapsort due to smaller constants tighter loops\n')
('heapsort', 'smaller sets', 'quicksort', 'memory', '285023', 'i was just going to say radix sort however that could be a bit above what you were looking to implement introsort is generally the accepted sorting solution for data it s a variation of quicksort that switches to heapsort when it reaches smaller sets as it s faster on smaller sets than quicksort\n')
('quicksort', 'worse', 'heapsort', '', '1853219', 'however quicksort s worst-case performance is significantly worse than heapsort s is\n')
('heapsort', 'slower', 'quicksort', 'performance', '70423', 'but there are many citations of real world tests which show that heapsort is significantly slower than quicksort on average\n')
('quicksort', 'usually faster', 'heapsort', 'performance', '941325', 'in practice however quicksort is usually faster then heapsort\n')

quicksort	mergesort	18
('quicksort', 'faster', 'mergesort', 'performance', '90477', 'as many people have noted the average case performance for quicksort is faster than mergesort\n')
('quicksort', 'worse', 'mergesort', '', '201171', 'quicksort is worse complexity than mergesort in the worst case.\n')
('quicksort', 'better', 'mergesort', '', '497819', 'previously discussed on so why is quicksort better than mergesort\n')
('quicksort', 'also more complicated', 'mergesort', 'usability', '680613', 'quicksort is also more complicated than mergesort especially if you want to write a really solid implementation and so if you re aiming for simplicity and maintainability merge sort becomes a promising alternative with very little performance loss\n')
('quicksort', 'better', 'mergesort', '', '497967', 'the biggest difference that can be produced between the two of them will always be to quicksort s detriment and it involves lists that are already largely sorted or contain a large number of ties when quicksort does better than mergesort the difference will not be nearly so great\n')
('quicksort', 'also more', 'mergesort', '', '680613', 'quicksort is also more complicated than mergesort especially if you want to write a really solid implementation and so if you re aiming for simplicity and maintainability merge sort becomes a promising alternative with very little performance loss\n')
('quicksort', 'worse complexity', 'mergesort', 'usability', '201171', 'quicksort is worse complexity than mergesort in the worst case.\n')
('quicksort', 'usually faster', 'mergesort', 'performance', '70440', 'quicksort is usually faster than mergesort just because it s easier to code a tight implementation and the operations it does can go faster\n')
('quicksort', 'not better', 'mergesort', '', '70627', 'quicksort is not better it is well suited for a different kind of application than mergesort\n')
('quicksort', 'generally faster', 'mergesort', 'performance', '70440', 'it s because that quicksort is generally faster that people use it instead of mergesort\n')
('quicksort', 'better', 'mergesort', '', '1527161', 'why is quicksort better than mergesort\n')
('quicksort', 'faster', 'mergesort', 'performance', '961662', 'in most cases quicksort will run faster than mergesort even though the worst-case execution time is longer\n')
('quicksort', 'faster', 'mergesort', 'performance', '70440', 'quicksort is usually faster than mergesort just because it s easier to code a tight implementation and the operations it does can go faster\n')
('quicksort', 'better', 'mergesort', '', '77945', 'quicksort is not better than mergesort\n')
('quicksort', 'more complicated', 'mergesort', 'usability', '680613', 'quicksort is also more complicated than mergesort especially if you want to write a really solid implementation and so if you re aiming for simplicity and maintainability merge sort becomes a promising alternative with very little performance loss\n')
('quicksort', 'quicker', 'mergesort', '', '497794', 'i had been taught that quicksort is almost always quicker than mergesort and i understand that there is some debate on this topic but i at least expected it to be closer than this\n')
('mergesort', 'worse', 'quicksort', '', '487454', 'given that it is possible to vastly reduce the likelihood of the worst case of quicksort s time complexity via random selection of the pivot for example i think one could argue that mergesort is worse in all but the pathological case of quicksort\n')
('quicksort', 'not better', 'mergesort', '', '77945', 'quicksort is not better than mergesort\n')

multiplication	addition	8
('addition', 'lower precedence', 'multiplication', '', '1969120', 'of course it is 10 because the addition operator has a lower precedence than the multiplication operator and so 4 + 3 2 always means 4 + 3 2\n')
('multiplication', 'higher', 'addition', '', '70881', 'precedence rules specify priority of operators which operators will be evaluated first multiplication has higher precedence than addition pemdas\n')
('multiplication', 'operator higher', 'addition', '', '810193', 'well we know it is the first one because of precedence - the binary multiplication operator has higher precedence than the binary + addition operator and is resolved first\n')
('multiplication', 'higher', 'addition', '', '1525321', 'just because multiplication has a higher precedence than addition doesn t mean we need to perform all multiplication in the expression before doing any addition\n')
('addition', 'operator lower', 'multiplication', '', '1969120', 'of course it is 10 because the addition operator has a lower precedence than the multiplication operator and so 4 + 3 2 always means 4 + 3 2\n')
('multiplication', 'higher precedence', 'addition', '', '70881', 'precedence rules specify priority of operators which operators will be evaluated first multiplication has higher precedence than addition pemdas\n')
('multiplication', 'more expensive', 'addition', '', '1907934', 'since multiplication is more expensive than addition you want to let the machine paralleliz it as much as possible so saving your stalls for the addition means you spend less time waiting in the addition loop than you would in the multiplication loop\n')
('multiplication', 'higher precedence', 'addition', '', '1525321', 'just because multiplication has a higher precedence than addition doesn t mean we need to perform all multiplication in the expression before doing any addition\n')

bazaar	git	6
('bazaar', 'slower', 'git', 'performance', '897862', 'mercurial is significantly faster than bazaar it s slower than git though by a much smaller difference\n')
('bazaar', 'slower', 'git', 'performance', '706428', 'i hear all this stuff about bazaar being slower than git\n')
('bazaar', 'slower', 'git', 'performance', '1372564', 'a lot of articles about bazaar will tell you it is a lot slower than git or mercurial\n')
('bazaar', 'slower', 'git', 'performance', '706457', 'an incredibly rough eye balling of the numbers they posted showed bazaar to be 2-4x slower than either git or mercurial in the use cases tested\n')
('bazaar', 'imho easier', 'git', 'usability', '77883', 'bazaar is imho easier to learn than git\n')
('bazaar', 'easier', 'git', 'usability', '1011950', 'bazaar is easier to extend in an api way git is easier to extend in a unix way pipes\n')

multiplication	multiplying	3
('multiplication', 'slightly harder', 'multiplying', '', '2198143', 'multiplication is slightly harder just multiplying two scaled numbers and then divide by your scale factor\n')
('multiplication', 'slightly more', 'multiplying', '', '79771', 'multiplication is slightly more complex as it needs an integer multiplying followed by a scale back such as 0.72 2 becomes 72 200 becomes 14400 becomes 144 scaleback becomes 1.44\n')
('multiplication', 'slightly more complex', 'multiplying', 'usability', '79771', 'multiplication is slightly more complex as it needs an integer multiplying followed by a scale back such as 0.72 2 becomes 72 200 becomes 14400 becomes 144 scaleback becomes 1.44\n')

datediff	difference	1
('datediff', 'more difficult', 'difference', '', '81983', 'datediff becomes more difficult to use as you have more dateparts in your difference in your case looks like minutes and seconds\n')

fractions	integer	1
('fractions', 'larger', 'integer', 'memory', '85416', 'if the number of bits in the mantissa or fractions is larger than the number of bits in your integer type then you ll possibly lose precision when someone types in a number such as\n')

webclient	webrequest	3
('webclient', 'sometimes easier', 'webrequest', 'usability', '91317', 'webclient is sometimes easier to use than webrequest\n')
('webclient', 'simpler', 'webrequest', 'usability', '449918', 'webclient is simpler to use than webrequest\n')
('webclient', 'more access', 'webrequest', 'usability', '1726749', 'update i ve created a webhelper class that takes the place of webclient but provides more access to the necessary features of the underlying webrequest\n')

datamapper	activerecord	3
('datamapper', 'potentially more complex', 'activerecord', 'usability', '94070', 'datamapper is potentially more complex then activerecord but it s a lot easier to develop your domain model and database asynchronous then with activerecord\n')
('datamapper', 'faster', 'activerecord', 'performance', '818424', 'i d recommend datamapper for orm not only it s way faster than activerecord but it s also very modularly built and plugins are actual gems that you can easily install\n')
('datamapper', 'potentially more', 'activerecord', '', '94070', 'datamapper is potentially more complex then activerecord but it s a lot easier to develop your domain model and database asynchronous then with activerecord\n')

x86	64bit	1
('x86', 'considerably slower', '64bit', 'performance', '95121', 'x86 is considerably slower a few clocks plus a clock or so per function argument while 64bit is much less because most function arguments are passed in registers instead of on the stack\n')

double	int	11
('int', 'slower', 'double', 'performance', '2242618', 'using and at the same time to check equality on a int results in slower code because it takes two comparisons instead of one taking the double amount of time\n')
('double', 'way greater', 'int', '', '605544', 'the range of double is way greater than the range of 32 or 64 bit int which is why std floor returns a double\n')
('double', 'more space ints-an', 'int', 'memory', '1935145', 'you re getting the outofmemory because if you declare int 1000 the memory is allocated immediately additionally double take up more space than ints-an int representation will also save you space\n')
('double', 'faster', 'int', 'performance', '594466', 'so i asked myself can a double be faster than a int\n')
('double', 'far greater', 'int', '', '605547', 'another reason is that the range of double is far greater than that of int\n')
('double', 'greater', 'int', '', '526070', 'today i noticed that when i cast a double that is greater than the maximum possible int to an int i get -2147483648\n')
('double', 'more difficult', 'int', '', '105339', 'for floats and double it s more difficult as with plain int as these may or not may be in the host machines byte-order\n')
('double', 'much wider', 'int', '', '1348958', 'the range of double is much wider than the range of int or long\n')
('int', 'smaller range', 'double', 'memory', '1696724', 'int can hold a smaller range than double\n')
('double', 'value also larger', 'int', 'memory', '511928', 'the largest double value is also larger than the largest int so it would have to be a long\n')
('double', 'more complex', 'int', 'usability', '1400465', 'i am guessing this is because modifying a double is a more complex operation than modifying an int\n')

puremvc	cairngorm	1
('puremvc', 'more invasive', 'cairngorm', '', '109038', 'puremvc is more invasive than cairngorm meaning that your code is heavily dependent on the framework you have to subclass implement the framework classes interfaces but that doesn t mean that cairngorm isn t\n')

png	gif	13
('png', 'better competition', 'gif', '', '1084126', 'png images are always compressed lossless but their compression algorithm works better than competition gif\n')
('gif', 'slightly better', 'png', '', '115838', 'there might be some edge cases where gif is slightly better because the png format may have a slightly larger overhead from metadata but it s really not worth the worry\n')
('png', 'newer', 'gif', '', '610542', 'png is a newer format and often better than either jpeg of gif - especially for screenshots\n')
('png', 'better', 'gif', '', '1200232', 'png compresses much better than gif and allows more colors at the same time\n')
('png', 'larger equivalent', 'gif', 'memory', '116461', 'if your png files are coming out larger than equivalent gif files it is almost certainly because your source image has more than 256 colors\n')
('png', 'better', 'gif', '', '319433', 'paul points out that png compresses static line art better than gif for nearly every situation\n')
('png', 'much better', 'gif', '', '1200232', 'png compresses much better than gif and allows more colors at the same time\n')
('png', 'smaller', 'gif', 'memory', '610565', 'if png isn t smaller than gif then your software may be saving it poorly - look for png optimisation progams like pngout and pngnq\n')
('png', 'never worse', 'gif', '', '115838', 'as a general rule png is never worse and often better than gif because of superior compression\n')
('png', 'smaller', 'gif', 'memory', '116210', 'indexed png less than 256 colors is actually always smaller than gif so i use that most of the time\n')
('png', 'larger', 'gif', 'memory', '610573', 'jpg and png work well for most applications but the files will be larger than gif for very simple graphics\n')
('png', 'better', 'gif', '', '115838', 'as a general rule png is never worse and often better than gif because of superior compression\n')
('png', 'shim smaller', 'gif', 'memory', '1841996', 'a 8-bit png shim is smaller than the same dimension 1 pixel gif and everything will still work as planned\n')

hash	md5	4
